Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
900,17,7,0,204,1427,27,900
4.50,6,2,0,221,441,25,900
900,12,2,0,268,536,20,900
3.60,39,4,3,591,2363,23,900
900,15,0,0,0,555,27,900
3.60,18,5,1,207,1035,24,900
900,11,2,0,303,606,22,900
3.60,12,3,2,335,1006,31,900
900,11,2,1,367,734,23,900
900,28,7,0,207,1449,22,900
900,17,4,1,323,1291,30,900
900,21,4,2,270,1081,22,900
900,37,18,4,140,2527,25,900
900,18,5,0,167,837,24,900
810,5,3,1,135,404,28,891
900,3,0,0,0,25,28,885
473,12,3,2,234,701,33,882
900,25,5,7,263,1317,23,810
450,1,0,0,0,13,23,810
900,16,9,1,147,1323,27,810
450,27,12,2,145,1745,28,810
891,18,6,2,183,1096,24,788
1.08,17,2,1,319,638,26,783
885,11,5,2,126,629,26,765
405,15,2,0,449,898,26,765
882,4,0,1,0,169,26,765
1.80,16,5,4,178,892,26,720
810,12,2,0,281,561,22,720
1.17,17,8,6,180,1438,28,720
810,12,1,2,701,701,25,720
1.08,12,2,0,381,762,28,720
810,11,0,0,0,349,19,720
248,14,3,0,260,779,23,675
