Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
900,11,0,0,0,930,29,810
900,18,2,0,795,1589,21,756
900,13,0,0,0,1169,31,751
9.00,3,0,0,0,98,26,720
720,33,0,1,0,2284,20,720
900,16,3,0,438,1313,30,720
720,26,1,0,2215,2215,23,720
720,21,0,0,0,1890,25,720
720,23,1,1,1760,1760,25,693
540,1,0,0,0,12,21,684
720,15,2,1,644,1288,22,684
540,13,4,1,274,1094,22,675
720,34,1,2,2935,2935,22,675
360,14,0,0,0,1235,28,658
693,21,2,0,815,1630,25,630
360,8,1,0,447,447,25,630
684,10,0,0,0,547,22,630
0,14,0,0,0,1156,28,630
684,0,0,0,0,0,22,630
2.16,10,0,0,0,900,29,630
675,30,0,3,0,2655,28,614
1.17,19,3,1,529,1587,28,612
675,12,0,1,0,691,21,594
810,5,0,0,0,450,23,585
658,13,0,0,0,1097,28,574
4.50,10,0,0,0,827,23,558
630,16,0,0,0,1350,23,540
720,6,0,0,0,113,23,540
