Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
1.80,15,0,1,0,1182,30,630
675,16,0,0,0,755,20,630
293,11,0,0,0,800,24,608
675,10,0,1,0,643,29,585
180,25,0,0,0,1540,27,585
675,4,1,0,37,37,21,585
1.80,34,0,5,0,2616,28,567
630,18,0,0,0,1323,25,540
720,8,0,1,0,545,24,540
630,13,0,0,0,320,29,540
630,17,0,0,0,1075,21,540
630,12,0,1,0,894,21,540
540,7,0,0,0,107,0,531
608,17,0,1,0,910,21,522
1.35,13,1,0,846,846,22,495
585,12,0,3,0,759,22,450
990,9,0,0,0,194,23,450
2.07,4,1,0,199,199,30,450
450,14,1,1,778,778,18,450
1.98,9,1,3,462,462,21,450
450,16,0,2,0,1421,26,450
1.80,14,3,2,384,1152,24,450
450,48,4,2,778,3111,23,450
1.35,13,4,0,248,993,23,450
450,11,0,0,0,520,25,450
1.08,14,0,1,0,669,27,450
450,15,3,5,422,1267,28,450
900,13,0,3,0,571,22,450
450,26,2,0,541,1081,23,450
810,16,2,0,502,1004,22,450
450,16,2,0,502,1004,22,450
765,24,2,1,973,1945,24,450
450,36,4,3,629,2515,17,450
540,23,1,0,1592,1592,22,450
450,6,3,0,129,387,25,410
450,6,0,0,0,258,24,410
450,38,2,8,1372,2743,25,405
450,35,5,6,493,2466,25,398
450,24,4,1,504,2017,22,378
450,24,3,0,561,1684,24,378
450,23,1,1,1746,1746,26,371
405,22,5,1,291,1455,26,369
